business_name,swc_tables,city
PARISIENNE CAFE INCORPORATED,4,BRONX
DEZ MULBERRY LLC,4,NEW YORK
FIDDLESTICKS L.L.C.,16,NEW YORK
"BROOKLYN TACOS, LTD",7,BROOKLYN
CALSHEA REST. CORP.,4,NEW YORK
1205 ON SURF CORP,8,BROOKLYN
"LA PETIT AMELIE, LLC",4,NEW YORK
TOR RESTAURANT LLC,8,NEW YORK
TK REST. CORP.,15,NEW YORK
ROJITA MANAGEMENT LLC,7,NEW YORK
"DINOSAUR RESTAURANTS, LLC",6,BROOKLYN
"TORTILLA FLATS, INC.",11,NEW YORK
834 7TH AVENUE LLC,13,NEW YORK
"LA MERIDIANA, LTD.",12,NEW YORK
WEST VILLAGE FINEST DELI CORP.,6,NEW YORK
"Astoria Apple, LLC",6,ASTORIA
STEM 330 LLC,6,NEW YORK
"CAKOR RESTAURANT, INC.",11,BRONX
"LA SCALA RESTAURANT, LLC",11,NEW YORK
"135 STUDIO N ADR, INC.",5,BROOKLYN
EIGHTY THIRD AND FIRST LLC,22,NEW YORK
"ANCHOR HEIGHTS, LLC",10,NEW YORK
STRUZZO LLC,15,BROOKLYN
RUSTIC TABLE LLC,16,NEW YORK
PLANT BASED PIZZA NEW YORK LLC,10,NEW YORK
"L.L.B., INC.",2,NEW YORK
APICIO LLC,5,NEW YORK
"ANGELO VIVOLO RESTAURANT ASSOCIATES, INC.",2,NEW YORK
Y.N.L.C. CAFE CORP.,31,ASTORIA
2122 BEEKMAN BAR LLC,20,BROOKLYN
HEDGIE LLC,11,NEW YORK
SERF TWO INC,12,NEW YORK
"TRIBECA GRAND HOTEL, INC.",21,NEW YORK
REBA REALTY CORP.,15,NEW YORK
667 TENTH AVENUE CORP,8,NEW YORK
"BRATS UND BIER, INC.",14,ASTORIA
PILAR CUBAN RESTAURANT INC,7,BROOKLYN
LOVE MAMAK CORP,12,NEW YORK
ELORA 272 INC,9,BROOKLYN
