business_name,dba_name,building,street,city,state,zip,swc_type,swc_sq_ft,swc_tables,swc_chairs,latitude,longitude,community_district,city_council_district
JAMAICA BBQ LLC,DALLAS BBQ,8914,PARSONS BLVD,JAMAICA,NY,11432,Unenclosed,781,52,104,40.70528792476976,-73.80186728085395,412,24
"675 HUDSON VAULT, LLC",DOS CAMINOS,675,HUDSON ST,MANHATTAN ,NY,10014,Unenclosed,1300,48,135,40.74037164457616,-74.00535882636731,102,3
UNION SQUARE CATERING FACILITY INC.,THE COFFEE SHOP,29,UNION SQ W,MANHATTAN ,NY,10003,Unenclosed,812,45,102,40.73652053087855,-73.99100779563639,105,2
VIDA CAFE INC,MAMAJUANA CAFE,247,DYCKMAN ST,MANHATTAN ,NY,10034,Unenclosed,822,44,89,40.86661220741771,-73.92810963362714,112,10
OMNITY CONSULTING LLC,HARLEM SHAKE,100,W 124TH ST,MANHATTAN ,NY,10027,Unenclosed,805,43,85,40.80710860825188,-73.94643747184085,110,9
"CALIENTE CAB REST. CO., INC.",CALIENTE CAB CO,61,7TH AVE S,MANHATTAN ,NY,10014,Unenclosed,752,42,84,40.731841015925085,-74.00374167779489,102,3
BOUCHERIE LLC,BOUCHERIE LLC,99,7TH AVE S,MANHATTAN ,NY,10014,Unenclosed,518,42,84,40.73301853706266,-74.00300927138393,102,3
BROOKLYN ACQUISITION HOLDING LLC,SEA WOLF,19,WYCKOFF AVE,BROOKLYN,NY,11237,Unenclosed,783,41,82,40.70682421291734,-73.92288615253753,304,34
210 EMPIRE LLC,EMPIRE DINER,210,10TH AVE,MANHATTAN ,NY,10011,Unenclosed,793,40,80,40.7471429841922,-74.00438854894793,104,3
23RD & 9TH RESTAURANT CORP.,CHELSEA SQUARE,368,W 23RD ST,MANHATTAN ,NY,10011,Enclosed,692,40,80,40.74620985045644,-74.00078675186687,104,3
"64 WEST RESTAURANT, LLC","64 WEST RESTAURANT, LLC",1900,BROADWAY,MANHATTAN ,NY,10023,Unenclosed,676,38,76,40.77151495329522,-73.98177869033904,107,6
"SERAFINA 77 WEST , LLC",SERAFINA 77 WEST,2178,BROADWAY,MANHATTAN ,NY,10024,Unenclosed,667,38,76,40.78207376953536,-73.98063475727058,107,6
LOS CUATES LLC,ROSARITO RESTAURANT,168,WYTHE AVE,BROOKLYN,NY,11211,Unenclosed,804,38,76,40.71954333249962,-73.96065649966145,301,33
"CDGP, LLC",FLO,3720,30TH AVE,ASTORIA,NY,11103,Unenclosed,703,36,72,40.764160222493736,-73.91622443044764,401,22
"2255 EMMONS CAFE LOUNGE, INC.",PERA CAFE & LOUNGE,2255,EMMONS AVE,BROOKLYN,NY,11235,Unenclosed,850,36,72,40.584004854052274,-73.94457150050613,315,48
ISG RESTAURANT LLC,IL GATTO NERO,2758,BROADWAY,MANHATTAN ,NY,10025,Unenclosed,524,35,70,40.80100951097455,-73.96769494614298,107,7
92ND AND 3RD REST CORP.,3RD AVE ALE HOUSE,1644,3RD AVE,MANHATTAN ,NY,10128,Unenclosed,468,35,70,40.78285832993135,-73.95128841806576,108,5
63 GUERNSEY LLC,SPRITZENHAUS,63,GUERNSEY ST,BROOKLYN,NY,11222,Unenclosed,814,34,64,40.723303485721,-73.95290130349974,301,33
4042 EAST TREMONT CAFE CORP.,TOSCA CAFE,4038,E TREMONT AVE,BRONX,NY,10465,Enclosed,814,33,67,40.81920182000336,-73.81763091182158,210,13
SERAFINA 2735 CORP,SERAFINA BROADWAY,2737,BROADWAY,MANHATTAN ,NY,10025,Unenclosed,554,33,66,40.80047992335924,-73.9682153161866,107,6
BUBBYS MP LLC,BUBBYS HIGHLINE,71,GANSEVOORT ST,MANHATTAN ,NY,10014,Unenclosed,727,33,70,40.73959474998052,-74.00765743903395,102,3
